GBIF Column Names,OBIS Column Names
bibliographicCitations,abstract
citation,archive
collections,citation
comments,citation_id
contacts,contacts
contactsCitation,core
countryCoverage,created
created,downloads
createdBy,extensions
curatorialUnits,extent
dataDescriptions,id
dataLanguage,intellectualrights
description,keywords
doi,node_id
endpoints,node_name
external,nodes
geographicCoverages,published
homepage,records
identifiers,statistics
installationKey,title
key,updated
keywordCollections,url
language,NA
license,NA
lockedForAutoUpdate,NA
logoUrl,NA
machineTags,NA
maintenanceUpdateFrequency,NA
modified,NA
modifiedBy,NA
numConstituents,NA
pubDate,NA
publishingOrganizationKey,NA
purpose,NA
samplingDescription,NA
tags,NA
taxonomicCoverages,NA
temporalCoverages,NA
title,NA
type,NA
